,#ClkTicks,Alt,COG,ClusterID,Date Time(UTC),GpsUTC,HDOP,ID,LatDec,LongDec,N,N1Cts,N1ETsec,N1RH,N1T(C),N2Cts,N2ETsec,N2RH,N2T(C),NM,N_smooth,N_smooth_std,No_of_tree,NumSats,P1_mb,P4_mb,PTB110_mb,Qual,RH1,RH_CS215,RecordNum,SpeedQuality,Speed_kmh,T1_C,T_CS215,Vbat,ah,correct_h,correct_inc,correct_p,geometry,moisture,moisture_%,n_tree,strDate,w_highway,w_landuse,w_water,ORCDRC_sl1,BLDFIE_sl1,CLYPPT_sl1
32,1090,130.7,61.54,0,2019-07-08 05:05:20,50540,0.9,9,51.35375,12.48682,9436.89852,19,10,41.9,25.8,12,10,42.3,25.9,167.839,9851.846290000001,520.56907,0.0,9,999.2,1000.7,1000.72,1.0,34.6,60.1,110,A,79.06,26.4,13.3,15.926,6.9405399999999995,1.03748,0.89371,0.9119799999999999,"POLYGON ((12.4841150266742 51.35237717048848, 12.48362999961984 51.35243058176992, 12.48331341711905 51.35266620499925, 12.48331341257678 51.35297379110379, 12.48362999350006 51.35320941712678, 12.48645998619212 51.35413941712678, 12.48694503162911 51.35419282937844, 12.4873715719454 51.35403903509776, 12.48754002149556 51.35374999779332, 12.48737156498587 51.35346096231237, 12.48694502921209 51.35330717048846, 12.4841150266742 51.35237717048848))",0.07792,7.79245,,80719.0,primary,farmland,,99.6,1336.2,16.6
33,1100,131.4,65.85,0,2019-07-08 05:05:30,50550,0.8,10,51.35456,12.489469999999999,10435.95782,16,10,41.9,25.8,18,10,42.3,25.9,166.417,10032.61244,526.57773,0.0,10,999.3,1000.8,1000.68,1.0,34.6,59.8,111,A,70.25,26.4,13.4,15.927,6.94866,1.03752,0.90135,0.9117200000000001,"POLYGON ((12.48694502921209 51.35330717048846, 12.48645999231223 51.35336058176987, 12.48614340338506 51.35359620499916, 12.48614339884254 51.35390379110372, 12.48645998619212 51.35413941712678, 12.48910997982683 51.35494941712676, 12.48959503383976 51.35500282937843, 12.49002158169754 51.35484903509774, 12.49019003422586 51.35455999779327, 12.49002157473769 51.35427096231233, 12.48959503142263 51.35411717048846, 12.48694502921209 51.35330717048846))",0.06987,6.98734,,80719.0,path,farmland,,102.33333333333333,1330.3333333333333,16.333333333333332
34,1110,135.1,76.71,0,2019-07-08 05:05:40,50600,0.8,11,51.355059999999995,12.491719999999999,10224.98097,14,10,41.9,25.8,19,10,42.3,25.9,164.995,10849.34179,904.88315,0.0,10,999.4,1000.9,1000.82,1.0,34.6,59.5,112,A,32.11,26.5,13.4,15.93,6.9138,1.0373299999999999,0.90912,0.91266,"POLYGON ((12.48959503142263 51.35411717048846, 12.48910998594722 51.35417058176987, 12.48879339142259 51.35440620499913, 12.48879338687987 51.35471379110367, 12.48910997982683 51.35494941712676, 12.49135997589749 51.35544941712676, 12.49184503520442 51.35550282937844, 12.49227158771761 51.3553490350977, 12.49244004208437 51.35505999779321, 12.49227158075755 51.3547709623123, 12.49184503278721 51.35461717048847, 12.48959503142263 51.35411717048846))",0.0397,3.9703,,80719.0,primary,grass,,92.0,1333.6666666666667,15.333333333333334
35,1120,136.1,125.74,0,2019-07-08 05:05:50,50610,0.8,12,51.354279999999996,12.49281,11887.08659,18,10,41.9,25.9,20,10,42.2,25.9,163.573,10081.10484,1882.0489100000002,0.0,10,999.3,1000.9,1000.91,1.0,34.6,59.5,113,A,59.58,26.5,13.5,15.931,6.956580000000001,1.03757,0.9170200000000001,0.9132600000000001,"POLYGON ((12.49293503065848 51.35383717048848, 12.49244998814751 51.35389058176986, 12.49135998201806 51.35467058176985, 12.49104338403808 51.35490620499909, 12.49104337949522 51.35521379110362, 12.49135997589749 51.35544941712676, 12.49184503520442 51.35550282937844, 12.49227158771761 51.3553490350977, 12.49336157832638 51.35456903509774, 12.4935300298252 51.35427999779329, 12.49336157136664 51.35399096231236, 12.49293503065848 51.35383717048848))",0.06781000000000001,6.781110000000001,,80719.0,motorway_link,basin,,88.0,1331.0,14.5
36,1130,136.8,77.05,0,2019-07-08 05:06:00,50620,0.9,13,51.35409,12.49519,8131.2469599999995,11,10,41.8,25.9,15,10,42.2,25.9,163.573,10011.90785,1877.92582,0.0,9,999.5,1001.0,1000.89,1.0,34.6,59.7,114,A,59.0,26.5,13.4,15.931,6.93704,1.03746,0.9170200000000001,0.9131299999999999,"POLYGON ((12.49531503013996 51.35364717048849, 12.49293503065848 51.35383717048848, 12.49244998814751 51.35389058176986, 12.49213339555783 51.35412620499916, 12.49213339101518 51.35443379110367, 12.49244998202721 51.35466941712675, 12.49293503307558 51.35472282937844, 12.49531503255703 51.35453282937844, 12.49574157603884 51.35437903509774, 12.49591002683907 51.3540899977933, 12.49574156907917 51.35380096231236, 12.49531503013996 51.35364717048849))",0.07077,7.0766100000000005,,80719.0,motorway_link,basin,,77.5,1345.5,14.0
37,1140,135.3,129.58,0,2019-07-08 05:06:10,50630,0.8,14,51.35362,12.49739,10017.39,19,10,41.8,25.9,13,10,42.2,25.9,163.573,9453.26268,1148.9908599999999,0.0,10,999.2,1000.8,1001.03,1.0,34.5,59.6,115,A,73.08,26.5,13.4,15.934,6.92542,1.0374,0.9170200000000001,0.91407,"POLYGON ((12.49751502885732 51.35317717048849, 12.49702999333375 51.35323058176988, 12.49482998964054 51.35370058176987, 12.49451339836384 51.35393620499917, 12.49451339382124 51.3542437911037, 12.49482998352031 51.35447941712675, 12.49531503255703 51.35453282937844, 12.49751503127433 51.35406282937844, 12.49794157038029 51.35390903509775, 12.49811001945248 51.35361999779333, 12.49794156342081 51.35333096231236, 12.49751502885732 51.35317717048849))",0.09799,9.798760000000001,,80719.0,motorway,farmland,,80.0,1355.3333333333333,13.666666666666666
38,1150,134.1,131.8,0,2019-07-08 05:06:20,50640,0.8,15,51.35238,12.49967,10211.15107,15,10,41.8,25.9,18,10,42.2,25.9,165.04275,8994.09692,1942.6149100000002,0.0,10,999.2,1000.7,1000.64,1.0,34.5,60.3,116,A,72.19,26.6,13.3,15.935,6.96364,1.0376,0.90886,0.91145,"POLYGON ((12.49979502547352 51.35193717048849, 12.49931000307707 51.35199058176991, 12.49702999333375 51.35323058176988, 12.49671340530491 51.35346620499917, 12.49671340076243 51.35377379110373, 12.49702998721369 51.35400941712677, 12.49751503127433 51.35406282937844, 12.49794157038029 51.35390903509775, 12.50022155545208 51.35266903509782, 12.50038999996542 51.35237999779343, 12.5002215484931 51.35209096231245, 12.49979502547352 51.35193717048849))",0.12607000000000002,12.60665,,80719.0,motorway,farmland,,81.25,1350.25,13.5
39,1160,133.6,135.85,0,2019-07-08 05:06:30,50650,0.8,16,51.35125,12.501539999999999,6753.74967,14,10,41.8,25.9,8,10,42.2,25.9,166.5125,8396.65056,1735.0766399999998,0.0,10,999.4,1000.9,1000.71,1.0,34.5,61.4,117,A,60.95,26.6,13.2,15.936,7.047,1.03805,0.9008299999999999,0.9119200000000001,"POLYGON ((12.5016650223901 51.35080717048848, 12.50118001195544 51.35086058176992, 12.49931000307707 51.35199058176991, 12.4989934236166 51.35222620499929, 12.49899341907444 51.35253379110382, 12.49930999695744 51.35276941712681, 12.49979502789035 51.35282282937844, 12.50022155545208 51.35266903509782, 12.50209154184908 51.35153903509788, 12.50225998220825 51.35124999779351, 12.50209153489055 51.35096096231246, 12.5016650223901 51.35080717048848))",0.17397,17.39744,,80719.0,motorway,farmland,,75.33333333333333,1365.3333333333333,14.0
40,1170,133.1,144.24,0,2019-07-08 05:06:40,50700,0.9,17,51.35009,12.5031,8225.05095,17,10,41.8,25.9,10,10,42.2,25.9,167.98225,7609.12777,764.32052,0.0,9,999.4,1001.0,1000.93,1.0,34.5,60.5,118,A,63.99,26.6,13.2,15.937,6.94371,1.0375,0.89295,0.9133899999999999,"POLYGON ((12.50322501922503 51.3496471704885, 12.50274002106893 51.34970058176997, 12.50118001195544 51.35086058176992, 12.50086344030272 51.35109620499934, 12.50086343576086 51.3514037911039, 12.50118000583621 51.3516394171268, 12.50166502480677 51.35169282937844, 12.50209154184908 51.35153903509788, 12.50365152788586 51.35037903509793, 12.50381996398087 51.35008999779362, 12.50365152092779 51.34980096231255, 12.50322501922503 51.3496471704885))",0.27066999999999997,27.067429999999998,,80719.0,construction,farmland,,74.5,1361.0,14.0
41,1180,136.5,150.99,1,2019-07-08 05:06:50,50710,0.9,0,51.3488,12.50441,7848.58269,9,10,41.8,25.9,17,10,42.2,25.9,169.452,8673.7049,1119.06719,,9,999.4,1000.9,1000.9,1.0,34.5,60.2,119,A,65.17,26.6,13.2,15.938,6.909269999999999,1.03731,0.88521,0.91319,"POLYGON ((12.5045350157055 51.34835717048848, 12.50405003120305 51.34841058176998, 12.50373347647688 51.34864620499954, 12.50242345743071 51.34993620499945, 12.50242345288916 51.35024379110397, 12.50274001495012 51.35047941712686, 12.50322502164154 51.35053282937844, 12.50365152788586 51.35037903509793, 12.50496151235888 51.349089035098, 12.50512994371218 51.34879999779371, 12.50496150540134 51.3485109623126, 12.5045350157055 51.34835717048848))",0.14982,14.981929999999998,,80719.0,construction,farmland,,69.0,1354.6666666666667,14.333333333333334
