STATIONS_ID,date_start,date_end,height,geo_lat,geo_lon,name,kl,more_precip,soil_temperature,solar,water_equiv,weather_phenomena,pressure,air_temperature
06331,20090827,20100825,163,49.6503,6.5332,Wawern,False,True,False,False,False,False,,
06332,20090901,20100518,210,49.4114,8.0060,Weidenthal,False,True,False,False,False,False,,
06333,20090901,20200816,650,49.7286,7.1289,Hüttgeswasen,False,True,False,False,False,False,,
06334,20090901,20100831,215,49.2039,8.0308,Birkweiler,False,True,False,False,False,False,,
06336,20051125,20200816,288,50.0132,9.6540,Lohr/Main-Halsbach,True,True,True,False,True,True,,
06337,20090105,20200816,59,51.7663,7.5194,Lüdinghausen-Brochtrup,True,True,False,False,True,True,,
06338,20050302,20200816,605,50.3618,11.6223,"Steben,",False,True,False,False,True,False,,
06340,20080326,20200816,393,49.9321,7.3880,"Kirchberg,",False,True,False,False,False,False,,
06341,20130118,20200816,658,47.9603,11.0136,Dießen/Ammersee-Dettenschwang,False,True,False,False,True,False,,
06342,20051121,20200816,609,47.6572,11.3187,Schlehdorf,False,True,False,False,True,False,,
06343,20040903,20200816,902,47.5075,11.7049,Achenkirch/Österreich,False,True,False,False,False,False,,
06344,20041201,20200816,168,50.3940,8.1423,Runkel-Ennerich,True,True,True,False,False,True,,
06346,20050202,20200816,531,48.2070,11.2035,Maisach-Galgen,True,True,False,False,True,True,,
06347,20051125,20200816,304,50.0579,10.2972,Schonungen-Mainberg,True,True,False,False,True,True,,
07075,20050201,20200816,429,48.7020,11.8493,Elsendorf-Horneck,True,True,True,False,False,True,,
07077,20141229,20200816,54,53.5255,13.0161,Groß,False,True,False,False,True,False,,
07078,20041101,20200816,34,53.5035,11.0014,Dodow,False,True,False,False,False,False,,
07079,20041201,20200816,14,53.0443,14.2423,Berkholz-Meyenburg,False,True,False,False,False,False,,
07099,20081122,20200816,187,52.0111,10.3966,Liebenburg-Othfresen,True,True,False,False,True,True,,
07103,20040101,20200816,755,47.8533,11.0084,Wessobrunn-Puitl,False,True,False,False,False,False,,
07104,20050101,20200816,225,49.6208,9.6033,Königheim,False,True,False,False,False,False,,
07105,20051118,20200816,719,47.8350,12.6548,Siegsdorf-Höll,True,True,False,False,True,True,,
07106,20060901,20200816,105,52.0714,8.4565,Bielefeld-Deppendorf,True,True,True,False,False,True,,
07134,20111216,20130211,1047,47.8563,7.9491,Todtnau-Todtnauberg,False,True,False,False,True,False,,
07135,19800101,20160515,565,47.9655,9.6804,Aulendorf-Haslach,True,True,True,False,True,True,,
07136,20040401,20200816,232,48.1021,7.6276,Vogtsburg-Bischoffingen,False,True,False,False,False,False,,
07138,20041220,20200816,682,48.2962,9.0701,Burladingen-Hausen,False,True,False,False,True,False,,
07139,20090901,20200816,303,49.6111,7.6428,Einöllen,False,True,False,False,False,False,,
07140,20071101,20160831,140,49.7874,7.9839,Eckelsheim,False,True,False,False,False,False,,
07141,20040401,20200816,369,48.6274,9.3904,Nürtingen-Reudern,False,True,False,False,False,False,,
07187,20050221,20200816,193,49.7636,9.4063,Freudenberg/Main-Boxtal,True,True,True,False,True,True,,
07224,20060915,20200816,570,47.9324,9.5512,Altshausen,False,True,False,False,False,False,,
07225,20060915,20070411,410,48.2662,8.1110,Haslach,False,True,False,False,False,False,,
07226,20060915,20200724,640,47.7777,9.8870,"Kißlegg,",False,True,False,False,False,False,,
07227,20060915,20200816,280,49.6789,9.5230,Külsheim,False,True,False,False,False,False,,
07228,20060915,20101130,493,48.8868,9.8666,Leinzell-Eschach,False,True,False,False,False,False,,
07229,20060915,20101130,220,49.1739,9.0421,Massenbachhausen,False,True,False,False,False,False,,
07230,20060915,20200816,170,49.3078,9.3606,Möckmühl,False,True,False,False,False,False,,
07231,20060915,20161109,375,49.4042,9.8691,Niederstetten-Adolzhausen,False,True,False,False,False,False,,
07233,20060915,20200816,415,49.2570,10.0152,Rot,False,True,False,False,False,False,,
07234,20060915,20200816,310,48.2934,8.3066,Schiltach,False,True,False,False,False,False,,
07235,20060915,20200816,650,48.2109,8.7656,Schömberg-Stausee,False,True,False,False,False,False,,
07237,20060915,20121130,380,49.0537,9.6245,Schwäbisch,False,True,False,False,False,False,,
07238,20060915,20200816,200,48.9243,8.9536,Vaihingen/,False,True,False,False,False,False,,
07239,20060915,20160321,178,49.3031,8.9032,Waibstadt/Schwarzbach,False,True,False,False,False,False,,
07240,20060915,20200816,567,48.4692,8.6304,Horb-Altheim,False,True,False,False,False,False,,
