STATIONS_ID,date_start,date_end,height,geo_lat,geo_lon,name,air_temperature,cloud_type,cloudiness,dew_point,precipitation,pressure,soil_temperature,solar,sun,visibility,wind,wind_synop
00183,19950901,20191213,42,54.6792,13.4343,Arkona,True,True,True,True,True,True,True,True,True,True,True,True
00186,19710101,19980930,218,51.3773,8.0713,Arnsberg,False,False,False,False,False,False,False,False,True,False,False,False
00191,20050301,20191213,220,49.9695,9.9113,Arnstein-Müdesheim,True,True,True,True,True,False,False,False,False,True,False,True
00193,19790901,19871231,232,51.3845,9.0820,Arolsen-Neu,False,False,False,False,False,False,False,False,False,False,True,False
00194,20050201,20191213,265,51.3431,9.0763,"Arolsen-Landau,",False,True,False,False,True,False,False,False,False,False,False,False
00197,20080801,20191212,365,51.3218,9.0558,"Arolsen-Volkhardinghausen,",False,True,False,False,False,False,False,False,False,False,True,True
00198,19950901,20191213,164,51.3745,11.2920,Artern,True,True,True,True,True,True,True,False,True,True,True,True
00200,20041201,20191213,517,50.0850,6.3161,Lauperath-Scheidchen,False,True,False,False,True,False,False,False,False,False,False,False
00203,20141229,20170201,607,47.7860,12.3368,Aschau-Innerkoy,False,True,False,False,False,False,False,False,False,False,False,False
00205,20050501,20191213,680,47.7274,12.2982,Aschau-Stein,False,True,False,False,True,False,False,False,False,False,False,False
00207,19470101,19711231,105,51.7498,11.4667,Aschersleben,False,False,False,False,False,False,False,False,True,False,False,False
00211,20041101,20191213,200,50.5800,8.4685,Aßlar,False,True,False,False,True,False,False,False,False,False,False,False
00213,20070501,20191213,170,51.9375,10.9897,Sargstedt,False,True,False,False,True,False,False,False,False,False,False,False
00216,20041001,20191213,298,51.1143,7.8807,Attendorn-Neulisternohl,False,True,False,False,True,False,False,False,False,False,False,False
00217,20050101,20191213,672,47.8774,11.3642,Attenkam,True,True,True,True,True,False,False,False,True,True,False,True
00221,19870101,19900531,483,48.5515,11.7117,Au,False,False,False,False,False,False,True,False,True,False,False,False
00222,19950901,20191213,387,50.5907,12.7140,Aue,True,True,True,True,True,False,True,False,True,True,True,True
00227,20041001,20191213,432,49.8823,11.2656,Aufseß-Hochstahl,False,True,False,False,True,False,False,False,False,False,False,False
00232,19961107,20191213,461,48.4254,10.9420,Augsburg,True,True,True,True,True,True,True,False,True,True,True,True
00240,20040901,20191213,287,50.1805,9.5743,Aura,False,True,False,False,True,False,False,False,False,False,False,False
00243,19610101,19911130,4,53.4621,7.4670,Aurich,False,False,False,False,False,False,False,False,True,False,False,False
00246,20060101,20080812,73,51.7015,12.8909,Axien,False,True,False,False,True,False,False,False,False,False,False,False
00257,20021101,20191213,240,48.7270,8.2457,Baden-Baden-Geroldsau,True,True,True,True,True,False,False,False,False,True,False,True
00258,19800112,19911227,124,48.8000,8.1833,Baden-Oos,False,True,True,True,False,True,False,False,False,True,False,True
00259,20040701,20191213,273,47.8064,7.6387,Müllheim,True,True,True,True,True,False,False,False,True,True,True,True
00268,19980101,20081231,622,48.5293,8.2727,Baiersbronn-Obertal,True,False,False,False,False,False,False,False,True,False,True,False
00269,20060524,20191213,596,48.5116,8.3176,Baiersbronn-Mitteltal,False,True,False,False,True,False,False,False,False,False,False,False
00275,20041001,20191213,1037,47.4650,10.1043,Balderschwang,False,True,False,False,True,False,False,False,False,False,False,False
00277,20141203,20170128,571,48.2772,8.8831,Balingen-Heselwangen,False,True,False,False,False,False,False,False,True,False,False,False
00279,20061101,20191213,457,48.7573,9.4514,Baltmannsweiler-Hohengehren,False,True,False,False,True,False,False,False,False,False,False,False
00282,19950901,20191213,240,49.8742,10.9206,Bamberg,True,True,True,True,True,True,True,False,True,True,True,True
00284,19470101,19550101,282,49.8800,10.8800,Bamberg,True,False,False,False,False,False,False,False,False,False,False,False
00287,20080501,20191213,52,51.9611,11.9159,Walternienburg-Ronney,False,True,False,False,True,False,False,False,False,False,False,False
00288,19960701,19980831,3,53.8409,13.7549,Bargischow-Gnevezin,False,False,False,False,False,False,True,False,True,False,False,False
00292,20051201,20191213,37,52.6965,8.4870,Barnstorf,False,True,False,False,True,False,False,False,False,False,False,False
00294,20040701,20191213,110,52.3199,9.4300,Barsinghausen-Hohenbostel,True,True,True,True,True,False,False,False,False,True,False,True
00298,19950901,20191213,3,54.3406,12.7108,Barth,True,True,True,True,True,True,True,False,True,True,True,True
00301,20150901,20191213,659,48.7584,9.9855,Bartholomä,False,True,False,False,True,False,False,False,False,False,False,False
00303,20010402,20191213,55,52.0614,13.4996,Baruth,True,True,True,True,True,True,True,False,True,True,True,True
00305,19911104,19960110,53,53.7333,12.9333,Basepohl,False,True,True,True,False,True,False,False,False,True,False,True
00310,20041101,20191213,590,51.0662,8.5375,Battenberg-Hof,False,True,False,False,True,False,False,False,False,False,False,False
00312,20070601,20191213,52,53.8149,11.8818,Baumgarten,False,True,False,False,True,False,False,False,False,False,False,False
00314,20040501,20191213,232,51.1604,14.5042,"Kubschütz,",True,True,True,True,True,False,True,False,False,True,False,True
00316,20041101,20191213,310,49.6957,7.8387,Bayerfeld-Steckweiler,False,True,False,False,True,False,False,False,False,False,False,False
00320,20060701,20191213,350,49.9667,11.5197,Heinersreuth-Vollhof,True,True,True,True,True,False,True,False,True,True,True,True
00321,19710101,19951231,789,47.6797,12.0017,Bayrischzell,False,False,False,False,False,False,False,False,True,False,False,False
00323,20040315,20191213,425,49.1626,10.5918,Bechhofen/Mittelfranken,False,True,False,False,False,False,False,False,False,False,False,False
00326,20040701,20130708,120,51.7204,8.0577,Beckum-Unterberg,True,True,True,True,True,False,True,False,True,True,False,True
00330,20040801,20191213,450,49.5617,8.9673,Oberzent-Beerfelden,True,True,True,True,True,False,False,False,True,True,True,True
00336,20040901,20191213,290,51.0221,10.5148,Hörselberg-Hainich-Behringen,False,True,False,False,True,False,False,False,False,False,False,False
00341,19860101,19930131,235,47.7277,7.5520,"Bellingen,",False,False,False,False,False,False,False,False,True,False,True,False
00342,20101202,20191213,103,52.3170,8.1694,Belm,True,True,True,True,True,True,True,False,True,True,True,True
00348,19950901,20110902,127,50.4135,7.5886,Bendorf,True,True,True,True,True,True,True,False,True,True,True,True
00350,19990601,19991231,540,51.6715,10.7268,Benneckenstein,True,False,False,False,False,False,False,False,True,False,True,False
00351,20150126,20170222,508,51.6926,10.6976,Oberharz,False,True,False,False,False,False,False,False,False,False,False,False
00357,20050901,20191213,50,52.3018,7.1301,"Bentheim,",False,True,False,False,True,False,False,False,False,False,False,False
00359,20040701,20191213,464,49.1022,11.7960,Beratzhausen,False,True,False,False,True,False,False,False,False,False,False,False
